"B00513HKF4","Dark Force Rising: Star Wars Legends (The Thrawn Trilogy) (Star Wars: The Thrawn Trilogy Book 2)","Zahn, Timothy:https://m.media-amazon.com/images/I/51HBD7CUwDS._SY300_.jpg"
"B00513HX7Y","Heir to the Empire: Star Wars Legends (The Thrawn Trilogy) (Star Wars: The Thrawn Trilogy Book 1)","Zahn, Timothy:https://m.media-amazon.com/images/I/51ue3zHljeL._SY300_.jpg"
"B07JR9C55G","Conquest: Julius Caesar's Gallic War: A Historical Memoir & Graphic Novel","Ben Yakhlef, Tarek:https://m.media-amazon.com/images/I/51Y951Oe0QL._SY300_.jpg"
"B00D7X9POY","Batgirl/Robin: Year One","DIXON, CHUCK:SCOTT BEATTY:MARCOS MARTIN:https://m.media-amazon.com/images/I/61Q8TbNMkUL._SY300_.jpg"
"B009POHHRG","Batman: The Killing Joke","Moore, Alan:Bolland, Brian:https://m.media-amazon.com/images/I/61z2HFmt6TL._SY300_.jpg"
"B00NLK95UW","Batman: Batgirl (1997) #1","Puckett, Kelley:https://m.media-amazon.com/images/I/61KTjiXRtgL._SY300_.jpg"
"B00ET886E6","Batgirl (2011-2016) Vol. 3: Death of the Family (Batgirl(DC Comics-The New 52))","Simone, Gail:https://m.media-amazon.com/images/I/51YFa2LnFyL._SY300_.jpg"
"B008S0TDZW","Batgirl (2011-2016) Vol. 1: The Darkest Reflection (Batgirl(DC Comics-The New 52))","Simone, Gail:https://m.media-amazon.com/images/I/51Djqz8HA2L._SY300_.jpg"
"B00BAYS6YM","Batgirl (2011-2016) Vol. 2: Knightfall Descends (Batgirl(DC Comics-The New 52))","Simone, Gail:https://m.media-amazon.com/images/I/5167YBGhmkL._SY300_.jpg"
"B01AIXM6OG","Batgirl (2011-2016) Vol. 2: Family Business","Stewart, Cameron:https://m.media-amazon.com/images/I/51HKun3DmDL._SY300_.jpg"
"B01IO3Y80M","Batgirl (2011-2016) Vol. 3: Mindfields","Stewart, Cameron:Fletcher, Brenden:https://m.media-amazon.com/images/I/518hMoYgraL._SY300_.jpg"
"B08PDJMRCC","Winged","Chrose, Laica:https://m.media-amazon.com/images/I/41wWFPwyQ0L._SY300_.jpg"
"B00B55WWV4","Focus (The Crescent Chronicles Book 2)","Ivy, Alyssa Rose:https://m.media-amazon.com/images/I/516nsAHqOPL._SY300_.jpg"
"B08T68QW83","Westerham Witches and a Venetian Vendetta: Paranormal Investigation Bureau Cozy Mystery Series Book 15","Lister, Dionne:https://m.media-amazon.com/images/I/51nrImrP1zL._SY300_.jpg"
"B08KSK9R6H","Stolen Magic (The New York Shade Book 2)","Hoxa, D.N.:https://m.media-amazon.com/images/I/517sc6drojL._SY300_.jpg"
